device=cuda
tiles=29117  micro-batches/epoch=909  opt-steps/epoch=909
eff_batch=32 (batch 32 x accum 1)  base_lr=1.87e-05  warmup=909  total_steps=45450  recon=l2  augment=True

==============================================================================
run started 2026-07-28 12:15:12
args: {'data_root': '../SEN12MSCR/ROIs1158_spring_s2', 'pattern': '**/*.tif', 'img_size': 256, 'patch_size': 16, 'model_size': 'small', 'batch_size': 128, 'accum_steps': 4, 'epochs': 100, 'max_steps': 0, 'lr': 0.00015, 'no_lr_scaling': False, 'weight_decay': 0.05, 'warmup_steps': 0, 'recon_loss': 'l1', 'no_muon': False, 'muon_lr': 0.02, 'cmmd_weight': 0.0, 'cmmd_sigma': 0.0, 'norm_pix_loss': True, 'augment': True, 'no_normalize': False, 'val_fraction': 0.05, 'eval_every': 250, 'eval_batches': 16, 'num_workers': 16, 'amp': True, 'out': 'mae_backbone_small.pt', 'ckpt_every': 500, 'resume': '', 'log_file': 'train_log.txt'}
device=cuda
tiles=27661  val_tiles=1456  micro-batches/epoch=216  opt-steps/epoch=54
eff_batch=512 (batch 128 x accum 4)  base_lr=3.00e-04  muon_lr=4.00e-02 (muon=True)  warmup=54  total_steps=5400  recon=l1  norm_pix_loss=True  cmmd_weight=0.0  augment=True  normalize=True
model_size=small  encoder=21.6M  decoder=3.5M  mask_ratio=0.75
muon params=24.4M  adamw params=0.7M
epoch   9 | step  2520/5400 | loss 0.3891 | lr 1.68e-04 | 2.4 opt-it/s
epoch  10 | step  2540/5400 | loss 0.3873 | lr 1.66e-04 | 2.4 opt-it/s
epoch  10 | step  2560/5400 | loss 0.4070 | lr 1.65e-04 | 2.3 opt-it/s
epoch  10 | step  2580/5400 | loss 0.3906 | lr 1.63e-04 | 2.3 opt-it/s
epoch  11 | step  2600/5400 | loss 0.4116 | lr 1.61e-04 | 2.3 opt-it/s
epoch  11 | step  2620/5400 | loss 0.4047 | lr 1.59e-04 | 2.2 opt-it/s
epoch  11 | step  2640/5400 | loss 0.3699 | lr 1.58e-04 | 2.1 opt-it/s
epoch  12 | step  2660/5400 | loss 0.4011 | lr 1.56e-04 | 2.0 opt-it/s
epoch  12 | step  2680/5400 | loss 0.4055 | lr 1.54e-04 | 2.0 opt-it/s
epoch  12 | step  2700/5400 | loss 0.3960 | lr 1.52e-04 | 2.0 opt-it/s
epoch  13 | step  2720/5400 | loss 0.3786 | lr 1.51e-04 | 1.9 opt-it/s
epoch  13 | step  2740/5400 | loss 0.3844 | lr 1.49e-04 | 1.9 opt-it/s
  VAL step  2750 | loss 0.3857 | psnr_norm 4.16dB | psnr_pix 32.10dB | ssim 0.8931  <-- best
epoch  14 | step  2760/5400 | loss 0.3862 | lr 1.47e-04 | 1.8 opt-it/s
epoch  14 | step  2780/5400 | loss 0.3964 | lr 1.45e-04 | 1.8 opt-it/s
epoch  14 | step  2800/5400 | loss 0.3884 | lr 1.44e-04 | 1.8 opt-it/s
epoch  15 | step  2820/5400 | loss 0.4087 | lr 1.42e-04 | 1.8 opt-it/s
epoch  15 | step  2840/5400 | loss 0.4000 | lr 1.40e-04 | 1.8 opt-it/s
epoch  15 | step  2860/5400 | loss 0.4248 | lr 1.38e-04 | 1.8 opt-it/s
epoch  16 | step  2880/5400 | loss 0.3733 | lr 1.37e-04 | 1.7 opt-it/s
epoch  16 | step  2900/5400 | loss 0.3702 | lr 1.35e-04 | 1.7 opt-it/s
epoch  17 | step  2920/5400 | loss 0.3717 | lr 1.33e-04 | 1.7 opt-it/s
epoch  17 | step  2940/5400 | loss 0.3616 | lr 1.31e-04 | 1.7 opt-it/s
epoch  17 | step  2960/5400 | loss 0.4098 | lr 1.30e-04 | 1.7 opt-it/s
epoch  18 | step  2980/5400 | loss 0.4092 | lr 1.28e-04 | 1.7 opt-it/s
  VAL step  3000 | loss 0.3846 | psnr_norm 4.15dB | psnr_pix 32.12dB | ssim 0.8933
  checkpoint -> mae_backbone_small.pt.ckpt (step 3000)
epoch  18 | step  3000/5400 | loss 0.3847 | lr 1.26e-04 | 1.6 opt-it/s
epoch  18 | step  3020/5400 | loss 0.4031 | lr 1.24e-04 | 1.6 opt-it/s
epoch  19 | step  3040/5400 | loss 0.3936 | lr 1.23e-04 | 1.6 opt-it/s
epoch  19 | step  3060/5400 | loss 0.3835 | lr 1.21e-04 | 1.5 opt-it/s
epoch  20 | step  3080/5400 | loss 0.3927 | lr 1.19e-04 | 1.5 opt-it/s
epoch  20 | step  3100/5400 | loss 0.3715 | lr 1.17e-04 | 1.5 opt-it/s
epoch  20 | step  3120/5400 | loss 0.4041 | lr 1.16e-04 | 1.5 opt-it/s
epoch  21 | step  3140/5400 | loss 0.3860 | lr 1.14e-04 | 1.5 opt-it/s
epoch  21 | step  3160/5400 | loss 0.3793 | lr 1.12e-04 | 1.4 opt-it/s
epoch  21 | step  3180/5400 | loss 0.3971 | lr 1.11e-04 | 1.4 opt-it/s
epoch  22 | step  3200/5400 | loss 0.3748 | lr 1.09e-04 | 1.4 opt-it/s
epoch  22 | step  3220/5400 | loss 0.3894 | lr 1.07e-04 | 1.4 opt-it/s
epoch  22 | step  3240/5400 | loss 0.3849 | lr 1.05e-04 | 1.4 opt-it/s
  VAL step  3250 | loss 0.3837 | psnr_norm 4.17dB | psnr_pix 32.14dB | ssim 0.8936  <-- best
epoch  23 | step  3260/5400 | loss 0.3735 | lr 1.04e-04 | 1.4 opt-it/s
epoch  23 | step  3280/5400 | loss 0.3979 | lr 1.02e-04 | 1.4 opt-it/s
epoch  24 | step  3300/5400 | loss 0.4007 | lr 1.00e-04 | 1.3 opt-it/s
epoch  24 | step  3320/5400 | loss 0.3757 | lr 9.88e-05 | 1.3 opt-it/s
epoch  24 | step  3340/5400 | loss 0.3954 | lr 9.71e-05 | 1.3 opt-it/s
epoch  25 | step  3360/5400 | loss 0.3793 | lr 9.55e-05 | 1.3 opt-it/s
epoch  25 | step  3380/5400 | loss 0.3858 | lr 9.38e-05 | 1.3 opt-it/s
epoch  25 | step  3400/5400 | loss 0.3840 | lr 9.22e-05 | 1.3 opt-it/s
epoch  26 | step  3420/5400 | loss 0.3798 | lr 9.06e-05 | 1.3 opt-it/s
epoch  26 | step  3440/5400 | loss 0.3845 | lr 8.90e-05 | 1.3 opt-it/s
epoch  27 | step  3460/5400 | loss 0.4087 | lr 8.74e-05 | 1.3 opt-it/s
epoch  27 | step  3480/5400 | loss 0.3847 | lr 8.58e-05 | 1.2 opt-it/s
  VAL step  3500 | loss 0.3823 | psnr_norm 4.20dB | psnr_pix 32.16dB | ssim 0.8940  <-- best
  checkpoint -> mae_backbone_small.pt.ckpt (step 3500)
epoch  27 | step  3500/5400 | loss 0.3940 | lr 8.42e-05 | 1.2 opt-it/s
epoch  28 | step  3520/5400 | loss 0.4117 | lr 8.26e-05 | 1.2 opt-it/s
epoch  28 | step  3540/5400 | loss 0.3916 | lr 8.10e-05 | 1.2 opt-it/s
epoch  28 | step  3560/5400 | loss 0.3723 | lr 7.95e-05 | 1.2 opt-it/s
epoch  29 | step  3580/5400 | loss 0.3869 | lr 7.79e-05 | 1.2 opt-it/s
epoch  29 | step  3600/5400 | loss 0.4023 | lr 7.64e-05 | 1.2 opt-it/s
epoch  30 | step  3620/5400 | loss 0.3779 | lr 7.48e-05 | 1.2 opt-it/s
